#,model,make,vehicle class(GTA V/GTA Online),type,style,capacity,price,website,type,appears in,variant(s),similar vehicle(s)
116,Specter,Dewbauchee,Sports,Civilian car,2-door coupé,2,"$599,000.00",Benny's Original Motor Works,VEHICLE,Grand Theft Auto Online [DLC] [EV],Specter Custom,Massacro#Seven-70
117,Specter Custom,Dewbauchee (GTA Online),Sports,Civilian car,2-door coupé,2,"$252,000.00",Benny's Original Motor Works,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Specter
118,Streiter,Benefactor,Sports,Civilian vehicle,Off-road station wagon,4,"$500,000.00",Southern San Andreas Super Autos,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,XLS#Brawler
119,Sugoi,Dinka,Sports,Civilian car,5-door hatchback,4,"$1,224,000.00",Southern San Andreas Super Autos,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Blista#Blista Compact#Blista Kanjo#Sultan#Sultan RS#Elegy RH8#Surge#Flash GT
120,Sultan,Karin (HD Universe),Sports,Civilian car,4-door saloon,4,"$12,000.00",Benny's Original Motor Works,VEHICLE,Grand Theft Auto: San Andreas#Grand Theft Auto: Liberty City Stories [CUT]#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto: Chinatown Wars#Grand Theft Auto V#Grand Theft Auto Online,Sultan RS,Asterope
121,Sultan Classic,Karin,Sports,Civilian car,4-door sports sedan,4,"$1,718,000.00",Southern San Andreas Super Autos,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Sultan (GTA San Andreas)#Sultan RS#Kuruma (GTA Online)
122,Surano,Benefactor,Sports,Civilian car,Convertible,2,"$110,000.00",Southern San Andreas Super Autos,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Feltzer#Jugular#Schlagen GT
123,V-STR,Albany,Sports,Civilian car,4-door sedan,4,"$1,285,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Presidente#Schafter#Schafter V12#Revolter
124,Verlierer,Bravado,Sports,Civilian vehicle,2-door sports car,2,"$695,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto Online [DLC],0,0
125,Veto Classic,Dinka,Sports,Racing car,Go-kart,1,"$895,000.00",Southern San Andreas Super Autos,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Go Kart#Kart
126,Veto Modern,Dinka,Sports,Racing car,Go-kart,1,"$995,000.00",Southern San Andreas Super Autos,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Go Kart#Kart
127,Tropos Rallye,Lampadati,Sports,Civilian car,2-door rally car,2,"$816,000.00",Southern San Andreas Super Autos,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Meteor#Viseris
128,Apocalypse ZR380,Annis,Sports,Civilian car,2-door sports car,2,"$2,138,640.00",Arena War,VEHICLE,Grand Theft Auto Online [DLC] [EV],Future Shock ZR380#Nightmare ZR380,ZR-350#Elegy RH8#190z
129,Future Shock ZR380,Annis,Sports,Civilian car,2-door sports car,2,"$2,138,640.00",Arena War,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Apocalypse ZR380#Nightmare ZR380
130,Nightmare ZR380,Annis,Sports,Civilian car,2-door sports car,2,"$2,138,640.00",Arena War,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Apocalypse ZR380#Future Shock ZR380
131,190z,Karin,Sports Classics,Civilian car,2-door coupe,2,"$900,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Michelli Roadster
132,Ardent,Ocelot,Sports Classics,Civilian vehicle,2-door coupé,2,"$1,150,000.00",Warstock Cache & Carry,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,V8 Ghost#Voltic#Stromberg
133,Casco,Lampadati,Sports Classics,Civilian car,2-door classic grand tourer,2,"$904,400.00",Legendary Motorsport,VEHICLE,Grand Theft Auto Online [DLC],0,GT500#Coquette BlackFin#Mamba
134,Cheburek,RUNE,Sports Classics,Civilian car,4-door sedan,4,"$145,000.00",Southern San Andreas Super Autos,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Warrener#Glendale#Bulwark#Dynasty
135,Cheetah Classic,Grotti,Sports Classics,Civilian car,Two-door sports car,2,"$865,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Cheetah#Turismo Classic#Infernus Classic
136,Coquette Classic,Invetero,Sports Classics,Civilian car,2-door sports car,2,"$350,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto V [DLC]#Grand Theft Auto Online [DLC],0,Phobos VT#Stinger (2D Universe)#Stinger Z29
137,Deluxo,Imponte (HD Universe),Sports Classics,Civilian vehicle,2-door sports coupe,2,"$4,721,500.00",Warstock Cache & Carry,VEHICLE,Grand Theft Auto: Vice City#Grand Theft Auto: Vice City Stories#Grand Theft Auto Online [DLC] [EV],0,Stromberg#Toreador#Oppressor Mk II#Ruiner 2000#Vigilante#Scramjet
138,Dynasty,Weeny,Sports Classics,Civilian car,4-door vintage saloon,4,"$450,000.00",Southern San Andreas Super Autos,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Issi Classic#Clique#Cheburek#Cabbie
139,Fagaloa,Vulcar,Sports Classics,Civilian car,2-door station wagon,2,"$335,000.00",Southern San Andreas Super Autos,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Ingot#Regina#Perennial (3D Universe)#Mangler
140,Fränken Stange,Albany,Sports Classics,Civilian car,Hot rod,4,"$550,000.00",Southern San Andreas Super Autos,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Roosevelt#Roosevelt Valor#Thunder-Rodd#Hotknife#Hustler#Tornado Rat Rod
141,GT500,Grotti,Sports Classics,Civilian car,2-door Berlinetta coupe,2,"$785,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Stinger#Stinger GT#Casco
142,Infernus Classic,Pegassi,Sports Classics,Civilian car,2-door classic sports car,2,"$915,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Penetrator (GTA Online)#Cheetah Classic#Turismo Classic#Torero#Counthash
143,JB 700,Dewbauchee,Sports Classics,Civilian car,2-door sports car,2,"$475,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,JB 700W,Rapid GT Classic#Stirling GT
144,JB 700W,Dewbauchee,Sports Classics,Civilian car,2-door sports car,2,"$1,470,000.00",Warstock Cache & Carry,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,JB 700#Rapid GT Classic
145,Mamba,Declasse,Sports Classics,Civilian vehicle,2-door classic roadster,2,"$995,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto#Grand Theft Auto Online [DLC] [EV],0,Coquette BlackFin#Casco
146,Manana,Albany (HD Universe),Sports Classics,Civilian car,2-door city car (3D Universe)#2-door convertible (GTA LCS)#2-door lowrider (GTA IV and GTA V)4-door sedan (GTA Chinatown Wars),2,"$10,000.00",Benny's Original Motor Works,VEHICLE,Grand Theft Auto III#Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto Advance#Grand Theft Auto: Liberty City Stories#Grand Theft Auto: Vice City Stories#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto: Chinatown Wars#Grand Theft Auto V#Grand Theft Auto Online,Manana Custom,Emperor#Virgo#Esperanto#Buccaneer
147,Michelli GT,Lampadati,Sports Classics,Civilian car,2-door coupe,2,"$1,225,000.00",Southern San Andreas Super Autos,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Michelli Roadster#Casco#Tropos Rallye#Retinue#Retinue Mk II#Komoda
148,Monroe,Pegassi,Sports Classics,Civilian car,2-door sports car,2,"$490,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Miara#Torero#Bullet#Itali GTO (Grand Theft Auto)
149,Nebula Turbo,Vulcar,Sports Classics,Civilian car,2-door sedan,2,"$797,000.00",Southern San Andreas Super Autos,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Nebula#Ingot#Warrener#Sentinel Classic#Zion Classic
150,Peyote,Vapid,Sports Classics,Civilian car,2-door personal luxury car,2,"$38,000.00",Benny's Original Motor Works,VEHICLE,Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto: Chinatown Wars#Grand Theft Auto V#Grand Theft Auto Online,Peyote Gasser#Peyote Custom,Fortune#Impaler#Thunderhead#T-Rex
151,Peyote Custom,Vapid,Sports Classics,Civilian car,2-door coupe,2,"$620,000.00",Benny's Original Motor Works,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Peyote#Peyote Gasser#Tornado#Tornado Custom
152,Pigalle,Lampadati,Sports Classics,Civilian car,2-door coupé,2,"$400,000.00",Southern San Andreas Super Autos,VEHICLE,Grand Theft Auto V [DLC]#Grand Theft Auto Online [DLC],0,0
153,Rapid GT Classic,Dewbauchee,Sports Classics,Civilian vehicle,Two-door grand tourer,2,"$885,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,JB 700#JB 700W#Ellie
154,Retinue,Vapid,Sports Classics,Civilian car,2-door vintage coupe,2,"$615,000.00",Southern San Andreas Super Autos,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,S-Cart#Cossie#Warrener#Savestra#Michelli GT#Nebula Turbo
155,Retinue Mk II,Vapid,Sports Classics,Civilian car,2-door coupe,2,"$1,620,000.00",Southern San Andreas Super Autos,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Cossie#Warrener#Savestra#Michelli GT#Nebula Turbo
156,Roosevelt,Albany,Sports Classics,Civilian car,4-door limousine,6,"$750,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto V [DLC]#Grand Theft Auto Online [DLC],Fränken Stange#Roosevelt Valor,0
157,Roosevelt Valor,Albany,Sports Classics,Civilian car,4-door limousine,6,"$982,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto Online [DLC],0,Roosevelt#Fränken Stange
158,Savestra,Annis,Sports Classics,Civilian car,2-door vintage coupe,2,"$990,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Elegy Retro Custom#Retinue#Warrener
159,Stinger,Grotti (HD Universe),Sports Classics,Civilian car,2-door sports car (2D Universe)#2-door roadster (3D Universe & GTA V),2,"$100,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto#Grand Theft Auto 2#Grand Theft Auto III#Grand Theft Auto: Vice City#Grand Theft Auto: Liberty City Stories#Grand Theft Auto: Vice City Stories#Grand Theft Auto V#Grand Theft Auto Online,Asukamobile#Stinger Z29#Stinger GT#Yakuza Stinger,GT500#Coquette Classic#190z
160,Stinger GT,Grotti,Sports Classics,Civilian car,2-door grand touring coupé,2,"$875,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto Online,0,Stinger#GT500
161,Stirling GT,Benefactor,Sports Classics,Civilian car,2-door coupe,2,"$975,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto V [DLC]#Grand Theft Auto Online [DLC],0,JB 700#GT500#Casco#Benson#Jugular (Grand Theft Auto 1)#Surano#Schlagen GT
162,Stromberg,Ocelot,Sports Classics,Customized civilian vehicle,Amphibious sports car,2,"$3,185,350.00",Warstock Cache & Carry,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Ardent#Infernus Classic#Torero#Deluxo#Vigilante#Toreador#Submersible#Kraken#Avisa#V8 Ghost
163,Swinger,Ocelot,Sports Classics,Civilian car,2-door racing car,2,"$909,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Jugular E#Jug Swinger
164,Toreador,Pegassi,Sports Classics,Customized civilian car,Amphibious sports car,4,"$3,660,000.00",Warstock Cache & Carry,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Stromberg#Deluxo#Viseris#Voxel Concept
165,Torero,Pegassi,Sports Classics,Civilian vehicle,2-door coupé,2,"$998,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Counthash#Cheetah Classic#Infernus Classic#Turismo Classic#Monroe#Infernus#Viseris
166,Tornado,Declasse (HD Universe),Sports Classics,Civilian car,2-door hardtop/convertible,2,"$30,000.00",Benny's Original Motor Works,VEHICLE,Grand Theft Auto: San Andreas#Grand Theft Auto V#Grand Theft Auto Online,Tornado Custom#Tornado Rat Rod,Oceanic#Voodoo
167,Tornado,Declasse (HD Universe),Sports Classics,Civilian car,2-door hardtop/convertible,2,"$30,000.00",Benny's Original Motor Works,VEHICLE,Grand Theft Auto: San Andreas#Grand Theft Auto V#Grand Theft Auto Online,Tornado Custom#Tornado Rat Rod,Oceanic#Voodoo
168,Tornado,Declasse (HD Universe),Sports Classics,Civilian car,2-door hardtop/convertible,2,"$30,000.00",Benny's Original Motor Works,VEHICLE,Grand Theft Auto: San Andreas#Grand Theft Auto V#Grand Theft Auto Online,Tornado Custom#Tornado Rat Rod,Oceanic#Voodoo
169,Tornado,Declasse (HD Universe),Sports Classics,Civilian car,2-door hardtop/convertible,2,"$30,000.00",Benny's Original Motor Works,VEHICLE,Grand Theft Auto: San Andreas#Grand Theft Auto V#Grand Theft Auto Online,Tornado Custom#Tornado Rat Rod,Oceanic#Voodoo
170,Tornado Custom,Declasse,Sports Classics,Civilian car,2-door lowrider,2,"$375,000.00",Benny's Original Motor Works,VEHICLE,Grand Theft Auto Online [DLC],0,Tornado#Tornado Rat Rod
171,Tornado Rat Rod,Declasse,Sports Classics,Civilian vehicle,Custom hotrod,2,"$378,000.00",Southern San Andreas Super Autos,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Tornado#Tornado Custom#Hotknife#Fränken Stange#Hustler#Peyote Gasser
172,Turismo Classic,Grotti,Sports Classics,Civilian car,2-door sports car,2,"$705,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Turismo (GTA San Andreas)#Turismo R#Cheetah Classic#F-19
173,Viseris,Lampadati,Sports Classics,Civilian car,2-door sports car,2,"$887,500.00",Legendary Motorsport,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Tigon#Toreador#Torero#Tropos Rallye
174,Zion Classic,Übermacht,Sports Classics,Civilian car,2-door coupé,2,"$812,000.00",Southern San Andreas Super Autos,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Sentinel Classic#Nebula Turbo
175,Z-Type,Truffade (HD Universe),Sports Classics,Civilian car,2-door coupé,2,"$950,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto 2#Grand Theft Auto V#Grand Theft Auto Online,0,A-Type#B-Type
176,Asea,Declasse,Sedans,Civilian car,4-door compact sedan,4,"$12,000 (GTA Online) (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Premier
177,Asterope,Karin,Sedans,Civilian car,4-door sedan,4,"$26,000 (GTA Online) (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Sultan
178,Cognoscenti,Enus,Sedans,Civilian car,4-door sedan,4,"$600 (Auto merchant)#(GTA Chinatown Wars)#$254,000 (GTA Online) (Legendary Motorsport)",,VEHICLE,Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto: Chinatown Wars#Grand Theft Auto Online [DLC] [EV],Cognoscenti (Armored)#Cognoscenti 55#Cognoscenti 55 (Armored)#Cognoscenti Cabrio,Bentover#Super Diamond#Schafter#Schafter V12#Schafter LWB
179,Cognoscenti (Armored),Enus,Sedans,Civilian car,4-door armored sedan,4,"$558,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Cognoscenti#Cognoscenti Cabrio#Cognoscenti 55#Cognoscenti 55 (Armored)#Schafter V12 (Armored)#Schafter LWB (Armored)
180,Cognoscenti 55,Enus,Sedans,Civilian Car,4-Door Sedan,4,"$154,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC],Cognoscenti 55 (Armored),Cognoscenti#Cognoscenti Cabrio#Schafter#Schafter V12#Schafter LWB
181,Cognoscenti 55 (Armored),Enus,Sedans,Civilian Car,4-Door armored sedan,4,"$396,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Cognoscenti 55#Cognoscenti Cabrio#Cognoscenti#Cognoscenti (Armored)#Schafter V12 (Armored)#Schafter LWB (Armored)
182,Emperor,Albany (HD Universe),Sedans,Civilian car,4-door family sedan (3D Universe)#4-door vintage car (HD Universe),4,0,,VEHICLE,Grand Theft Auto: San Andreas#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,0,Manana#Virgo#Esperanto#Buccaneer#Regina
183,Emperor,Albany (HD Universe),Sedans,Civilian car,4-door family sedan (3D Universe)#4-door vintage car (HD Universe),4,0,,VEHICLE,Grand Theft Auto: San Andreas#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,0,Manana#Virgo#Esperanto#Buccaneer#Regina
184,Emperor,Albany (HD Universe),Sedans,Civilian car,4-door family sedan (3D Universe)#4-door vintage car (HD Universe),4,0,,VEHICLE,Grand Theft Auto: San Andreas#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,0,Manana#Virgo#Esperanto#Buccaneer#Regina
185,Fugitive,Cheval,Sedans,Civilian car,4-door sedan,4,"$24,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,0
186,Glendale,Benefactor (HD Universe),Sedans,Civilian car,4-door sedan,4,"$200,000#$150,000 (trade price; Arena War only)#(GTA Online; Southern San Andreas Super Autos, Arena War & Benny's Original Motor Works)",,VEHICLE,Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto: Vice City Stories#Grand Theft Auto V [DLC]#Grand Theft Auto Online [DLC],Bloodring Banger#Apocalypse Bruiser#Future Shock Bruiser#Nightmare Bruiser#Glendale Custom,Oceanic#Admiral#Warrener#Cheburek
187,Glendale Custom,Benefactor,Sedans,Civilian car,Custom 4-door sedan,4,"$520,000 (Conversion at Benny's Original Motor Works)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Glendale#Faction Custom#Primo Custom
188,Ingot,Vulcar,Sedans,Civilian car,4-door station wagon,4,"$9,000 (GTA Online) (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto: Chinatown Wars#Grand Theft Auto V#Grand Theft Auto Online,0,Stratum#Solair#Fagaloa
189,Intruder,Karin (HD Universe),Sedans,Civilian car,4-door sedan,4,"$16,000 (GTA Online) (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto: San Andreas#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,0,Asterope#Emperor
190,Premier,Declasse (HD Universe),Sedans,Civilian car,4-door sedan,4,"$10,000 (GTA Online) (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto: San Andreas#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,Police (GTA San Andreas)#Taxi (GTA San Andreas),Elegant (GTA San Andreas)#Asea (GTA V)
191,Primo,Albany (HD Universe),Sedans,Civilian car,Four-door sedan,4,"$9,000 (Online)#(Southern San Andreas Super Autos & Benny's Original Motor Works {latter for enhanced version only})",,VEHICLE,Grand Theft Auto: San Andreas#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,Primo Custom,Admiral#Presidente#Washington
192,Primo Custom,Albany,Sedans,Civilian car,Four-door sedan,4,"$400,000 (Conversion at Benny's Original Motor Works)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Primo#Glendale Custom#Admiral#Presidente#Washington
193,Regina,Dundreary (HD Universe),Sedans,Civilian car,4-door station wagon,4,"$8,000 (GTA Online) (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto: Vice City Stories#The Lost and Damned#Grand Theft Auto V#Grand Theft Auto Online,0,Fagaloa#Perennial (3D Universe)
194,Romero Hearse,Albany (GTA IV)# Chariot (GTA V),Sedans,Funeral car,Four-door hearse,4,"$45,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto IV#Grand Theft Auto V#Grand Theft Auto Online,0,Washington#Hearse#Lurcher
195,Schafter,Benefactor (HD Universe),Sedans,Civilian car,4-door sedan,4,"$65,000 (Online) (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto IV (1st gen only)#The Lost and Damned (1st gen only)#The Ballad of Gay Tony#Grand Theft Auto V (2nd gen only)#Grand Theft Auto Online (2nd gen only),Schwartzer#Schafter V12#Schafter V12 (Armored)#Schafter LWB#Schafter LWB (Armored)#Stretch E#Turreted Limo,Streiter#Schwartzer#Feltzer#Admiral (3D Universe)
196,Schafter LWB (Armored),Benefactor,Sedans,Civilian car,4-door armored sedan,4,"$438,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Schafter#Schafter V12#Schafter V12 (Armored)#Schafter LWB#Schwartzer
197,Schafter V12 (Armored),Benefactor,Sedans,Civilian car,4-door armored sedan,4,"$325,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Schafter#Schafter V12#Schafter LWB#Schafter LWB (Armored)#Schwartzer
198,Stafford,Enus,Sedans,Civilian car,4-door sedan,4,"• ­$28,000 (GTA San Andreas)#(Exports and Imports)#• ­$1,272,000 (GTA Online)#(Legendary Motorsport)",,VEHICLE,Grand Theft Auto: San Andreas#Grand Theft Auto Online [DLC] [EV],0,Super Diamond#Super Drop Diamond#Bentover
199,Stanier,Vapid,Sedans,Civilian car,4-door sedan,4,"$10,000 (GTA Online) (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,Taxi#Police Cruiser#NOOSE Cruiser#Sheriff Cruiser#Unmarked Cruiser,Merit#Premier
200,Stratum,Zirconium (HD Universe),Sedans,Civilian car,4-door station wagon,4,"$10,000 (GTA Online)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto: San Andreas#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,0,Solair#Ingot
201,Stretch,Dundreary (GTA IV & GTA V; conversion)#Albany (GTA V; chassis),Sedans,Civilian limousine,Four-door limousine,6,"$32,000 (GTA San Andreas)#(Exports and Imports)#$3,000 (Bulletproof) (GTA Vice City Stories) (Sunshine Autos)#$30,000 (GTA Online) (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto III#Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto Advance#Grand Theft Auto: Liberty City Stories#Grand Theft Auto: Vice City Stories#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,Love Fist,Limo#Stretch E#Admiral#Washington
202,Super Diamond,Enus,Sedans,Civilian car,4-door luxury saloon/sedan,4,"$250,000 (GTA V)#(Southern San Andreas Super Autos)#$250,000 (GTA Online)#(Legendary Motorsport)",,VEHICLE,The Ballad Of Gay Tony# Grand Theft Auto V#Grand Theft Auto Online,Super Drop Diamond,Stafford#Windsor#Windsor Drop
203,Surge,Cheval,Sedans,Civilian car,4-door compact sedan,4,"$38,000 (Online) (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Dilettante
204,Tailgater,Obey,Sedans,Civilian car,4-door sedan,4,"$55,000 (Online) (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Schafter#Schafter V12#Schafter LWB#Cognoscenti#Cognoscenti 55#Fugitive#8F Drafter
205,Turreted Limo,Benefactor,Sedans,Civilian vehicle,4-door armed limousine,5,"$1,650,000 (Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Stretch E
206,Warrener,Vulcar,Sedans,Civilian car,4-door sedan,4,"$120,000 (GTA Online) (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V [DLC]#Grand Theft Auto Online [DLC],0,Elegy RH8#Retinue#Savestra
207,Washington,Albany (HD Universe),Sedans,Civilian car,4-door sedan,4,"$15,000 (GTA Online)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto: Vice City Stories#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,FBI Washington (3D Universe)#Stretch (GTA V)#Romero (GTA IV and GTA V),Admiral#Primo#Presidente#Esperanto
208,Blade,Vapid (HD Universe),Muscle,Civilian car,Lowrider (GTA San Andreas)# Muscle car (GTA V),2,"$15,200 (GTA San Andreas) (Exports and Imports)#$160,000 (GTA Online) (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto: San Andreas#Grand Theft Auto V [DLC]#Grand Theft Auto Online [DLC],0,Peyote Gasser
209,Buccaneer,Albany (HD Universe),Muscle,Civilian car,2-door coupé/muscle car,2,"$29,000 (GTA Online) (Benny's Original Motor Works) [EV]",,VEHICLE,Grand Theft Auto: San Andreas#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto: Chinatown Wars#Grand Theft Auto V#Grand Theft Auto Online,Buccaneer Custom#Lurcher,Picador (GTA San Andreas)#Yardie Lobo#Virgo#Esperanto#Manana#Emperor
210,Buccaneer Custom,Albany,Muscle,Civilian car,2-door coupé/muscle car,2,"$390,000 (Conversion at Benny's Original Motor Works)",,VEHICLE,Grand Theft Auto Online [DLC],0,Buccaneer
211,Chino,Vapid,Muscle,Civilian car,2-door coupe/muscle car,2,"$225,000#(Legendary Motorsport)#(Benny's Original Motor Works) [EV]",,VEHICLE,Grand Theft Auto V [DLC]#Grand Theft Auto Online [DLC],Chino Custom,Virgo#Peyote
212,Chino Custom,Vapid,Muscle,Civilian car,2-door coupe/muscle car,2,"$180,000 (Conversion at Benny's Original Motor Works)",,VEHICLE,Grand Theft Auto Online [DLC],0,Chino
213,Clique,Vapid,Muscle,Civilian car,2-door vintage coupe,2,"$909,000 (Legendary Motorsport)#FREE (For players who logged in on December 25, 2018)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Hermes#Fagaloa
214,Coquette BlackFin,Invetero,Muscle,Civilian car,2-door vintage sports car,2,"$695,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto V [DLC]#Grand Theft Auto Online [DLC],0,Coquette#Casco#Mamba
215,Deviant,Schyster,Muscle,Civilian car,2-door hardtop,2,"$512,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Sabre Turbo#Dukes#LeBonham
216,Dominator,Vapid,Muscle,Civilian car,2-door muscle car,2,"$35,000#$26,250 (trade price, Arena War only)#(GTA Online) (Southern San Andreas Super Autos & Arena War)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,Pißwasser Dominator#Apocalypse Dominator#Future Shock Dominator#Nightmare Dominator,Hellenbach#Ellie#Gauntlet#Gauntlet Hellfire
217,Dominator GTX,Vapid,Muscle,Civilian car,2-door muscle car,2,"$725,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Pißwasser Dominator#Buffalo#Buffalo S#Gauntlet#Gauntlet Hellfire
